Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
A Decade Under the Influence,Documentary,"['Robert Altman', 'John G. Avildsen', 'Warren Beatty', 'Linda Blair']","['Ted Demme', 'Richard LaGravenese']",,English,"34,514",USA,19 Jan 2003,138 min,7.6,Nominated for 1 Primetime Emmy. Another 1 win & 1 nomination.,tt0342275.jpg
18 ans après,"Comedy, Romance","['André Dussollier', 'Michel Boujenah', 'Roland Giraud', 'Madeleine Besson']",['Coline Serreau'],Coline Serreau,"French, English","6,212,170",France,05 Feb 2003,90 min,4.6,,tt0271337.jpg
American Storytellers,Documentary,"['John McNaughton', 'Harold Ramis', 'John Sayles', 'Forest Whitaker']",['Kevin Mukherji'],,English,"16,148",USA,11 Apr 2003,90 min,7.6,,tt0212142.jpg
Onmyoji 2,"Action, Fantasy","167913    Kari Wahlgren
Name: Actor, dtype: object",['Yôjirô Takita'],"Itaru Era, Yôjirô Takita, Baku Yumemakura",Japanese,"2,920,252",Japan,04 Oct 2003,112 min,6.3,1 nomination.,tt0383543.jpg
Nola,"Comedy, Romance","31799         Steven Bauer
50297       Mary McDonnell
65894          Emmy Rossum
88617     Thom Christopher
92692     James Badge Dale
137632       James Ransone
160761        Damian Young
Name: Actor, dtype: object",['Alan Hruska'],Alan Hruska,English,"8,058",USA,08 May 2003,97 min,5.5,,tt0317950.jpg
Zero Day,Drama,"['Cal Robertson', 'Andre Keuck', 'Serataren Adragna', 'Melissa Banks']",['Ben Coccio'],"Ben Coccio, Christopher Coccio",English,"7,221",USA,23 Jan 2004,92 min,7.4,7 wins & 1 nomination.,tt0365960.jpg
Controlled Chaos,"Comedy, Drama","['Amy Blomquist', 'Don Hughes', 'Erik Engstrom', 'Charley King']",['Azita Zendel'],Azita Zendel,English,"40,289",USA,10 Oct 2007,92 min,6.9,,tt0349238.jpg
Hell's Highway: The True Story of Highway Safety Films,"Documentary, History","['Richard Anderson', 'Sonny Bono', 'John F. Butler', 'Hans Conried']",['Bret Wood'],Bret Wood,English,"1,225",USA,27 Jun 2003,91 min,7.0,,tt0372321.jpg
Shrek 2,"Animation, Adventure, Comedy","3738            John Cleese
4219       Antonio Banderas
5668           Cameron Diaz
8378             Mike Myers
11230         Julie Andrews
16265        Rupert Everett
22861          Eddie Murphy
143123    Jennifer Saunders
Name: Actor, dtype: object","['Andrew Adamson', 'Kelly Asbury', 'Conrad Vernon']","William Steig (book), Andrew Adamson (story), Andrew Adamson (screenplay), Joe Stillman (screenplay), J. David Stem (screenplay), David N. Weiss (screenplay), Cody Cameron (additional dialogue), Walt Dohrn (additional dialogue), Chris Miller (additional dialogue), David P. Smith (additional dialogue), Conrad Vernon (additional dialogue), Charles Perrault (characters), Jeff Snow (story)",English,"210,983,909",USA,19 May 2004,93 min,7.2,Nominated for 2 Oscars. Another 15 wins & 47 nominations.,tt0298148.jpg
Spider-Man 2,"Action, Adventure, Fantasy","14701            Willem Dafoe
15863           Kirsten Dunst
20229             John Landis
22666           Alfred Molina
24634               Sam Raimi
49524           Tobey Maguire
54371               Ted Raimi
74885              Hal Sparks
76812         Elizabeth Banks
80249             Dylan Baker
85029           Brianna Brown
85272              Joy Bryant
86695          Bruce Campbell
92577          Daniel Dae Kim
94504         Emily Deschanel
94805            Reed Diamond
94824               Joey Diaz
100415           James Franco
102757         Daniel Gillies
107164        Rosemary Harris
112159    Marc John Jefferies
116944            Phil LaMarr
118254               Stan Lee
120415         Louis Lombardi
122452           Aasif Mandvi
125276            Joel McHale
129866           Donna Murphy
139790        Cliff Robertson
146091           J.K. Simmons
147066      Bonnie Somerville
162658          Mageina Tovah
163679        Vanessa Ferlito
181555            Peyton List
Name: Actor, dtype: object",['Sam Raimi'],"Stan Lee (comic book), Steve Ditko (comic book), Alfred Gough (screen story), Miles Millar (screen story), Michael Chabon (screen story), Alvin Sargent (screenplay)","English, Russian, Chinese","373,377,893",USA,30 Jun 2004,127 min,7.3,Won 1 Oscar. Another 23 wins & 51 nominations.,tt0316654.jpg
The Passion of the Christ,Drama,"32409     Monica Bellucci
36140        Jim Caviezel
102351     Claudia Gerini
Name: Actor, dtype: object",['Mel Gibson'],"Benedict Fitzgerald (screenplay), Mel Gibson (screenplay)","Aramaic, Latin, Hebrew","499,263",USA,25 Feb 2004,127 min,7.1,Nominated for 3 Oscars. Another 23 wins & 20 nominations.,tt0335345.jpg
Meet the Fockers,"Comedy, Romance","5469        Robert De Niro
6908        Dustin Hoffman
27071     Barbra Streisand
38197        Blythe Danner
53799            Teri Polo
59128          Ben Stiller
65671          J.P. Manoux
75465         Alanna Ubach
76043          Owen Wilson
130427    Tim Blake Nelson
140120          Kali Rocha
160370    Cedric Yarbrough
Name: Actor, dtype: object",['Jay Roach'],"Greg Glienna (characters), Mary Ruth Clarke (characters), Jim Herzfeld (story), Marc Hyman (story), Jim Herzfeld (screenplay), John Hamburg (screenplay)","English, Spanish, Hebrew","279,167,575",USA,22 Dec 2004,115 min,6.3,2 wins & 6 nominations.,tt0290002.jpg
The Incredibles,"Animation, Action, Adventure","7171      Samuel L. Jackson
18954          Holly Hunter
53123        Elizabeth Pena
54722     John Ratzenberger
57434         Wallace Shawn
66575        Andrew Stanton
71341             Jason Lee
72826       Craig T. Nelson
82501             Brad Bird
95392           Pete Docter
134385          Rob Paulsen
140001        Harry Shearer
140581           Lou Romano
164019         Sarah Vowell
Name: Actor, dtype: object",['Brad Bird'],Brad Bird,"English, French","261,437,578",USA,05 Nov 2004,115 min,8.0,Won 2 Oscars. Another 59 wins & 52 nominations.,tt0317705.jpg
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy","8491               Gary Oldman
25331             Alan Rickman
27504            David Thewlis
27562            Emma Thompson
36533           Julie Christie
36882          Robbie Coltrane
38530            Warwick Davis
58262             Maggie Smith
58473            Timothy Spall
64799           Michael Gambon
84318            David Bradley
97763             Alfred Enoch
99022               Tom Felton
99270               Pam Ferris
100769             Dawn French
104967       Richard Griffiths
105091            Rupert Grint
106642            Robert Hardy
108177             Lenny Henry
108288            Josh Herdman
111275             Lee Ingleby
119445           Matthew Lewis
126226           Harry Melling
137358        Daniel Radcliffe
145038              Fiona Shaw
147086    Geraldine Somerville
155083           Julie Walters
155754             Emma Watson
158152           Mark Williams
159841           Bonnie Wright
161495            James Phelps
Name: Actor, dtype: object",['Alfonso Cuarón'],"J.K. Rowling (novel), Steve Kloves (screenplay)",English,"249,358,727","UK, USA",04 Jun 2004,142 min,7.8,Nominated for 2 Oscars. Another 13 wins & 41 nominations.,tt0304141.jpg
The Day After Tomorrow,"Action, Adventure, Sci-Fi","18773            Ian Holm
24539        Dennis Quaid
27775       Tamlyn Tomita
28247           Sela Ward
65670         J.P. Manoux
65891         Emmy Rossum
72434          Dash Mihok
77522          Matt Adler
80044          Tim Bagley
105722    Jake Gyllenhaal
109467       Rick Hoffman
115410         Perry King
118865      Adrian Lester
130833     Austin Nichols
136151      Glenn Plummer
142761     Jay O. Sanders
146444        Arjay Smith
156618      Kenneth Welsh
170613         Sasha Roiz
Name: Actor, dtype: object",['Roland Emmerich'],"Roland Emmerich (story), Roland Emmerich (screenplay), Jeffrey Nachmanoff (screenplay)","English, Japanese, French, Arabic, Spanish","186,739,919",USA,28 May 2004,124 min,6.4,Won 1 BAFTA Film Award. Another 5 wins & 11 nominations.,tt0319262.jpg
The Bourne Supremacy,"Action, Thriller","11069            Joan Allen
14785            Matt Damon
66535             Brian Cox
66905        Franka Potente
75064          Julia Stiles
90221          Chris Cooper
91882         Marton Csokas
122704         Gabriel Mann
153008           Karl Urban
161520     Oksana Akinshina
164914    Michelle Monaghan
Name: Actor, dtype: object",['Paul Greengrass'],"Robert Ludlum (novel), Tony Gilroy (screenplay)","English, Russian, German, Italian","4,138,339","USA, Germany",23 Jul 2004,108 min,7.8,5 wins & 21 nominations.,tt0372183.jpg
National Treasure,"Action, Adventure, Mystery","4759             Nicolas Cage
7405            Harvey Keitel
12218               Sean Bean
28057              Jon Voight
53541     Christopher Plummer
80857           Justin Bartha
125774            Don McManus
133734          Annie Parisse
134611        Mark Pellegrino
165884           Diane Kruger
170439           Jason Earles
Name: Actor, dtype: object",['Jon Turteltaub'],"Jim Kouf (screenplay), Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Jim Kouf (story), Oren Aviv (story), Charles Segars (story)","English, Spanish","173,005,002",USA,19 Nov 2004,131 min,6.9,1 win & 9 nominations.,tt0368891.jpg
The Polar Express,"Animation, Adventure, Family","6673            Tom Hanks
70543       Michael Jeter
93972        Eddie Deezen
142276       Daryl Sabara
144081      Peter Scolari
166726    Josh Hutcherson
170568      Jimmy Bennett
Name: Actor, dtype: object",['Robert Zemeckis'],"Chris Van Allsburg (book), Robert Zemeckis (screenplay), William Broyles Jr. (screenplay)",English,"665,426",USA,10 Nov 2004,100 min,6.6,Nominated for 3 Oscars. Another 5 wins & 21 nominations.,tt0338348.jpg
Shark Tale,"Animation, Adventure, Comedy","5470          Robert De Niro
9374         Martin Scorsese
9781              Will Smith
10871        Renee Zellweger
16331             Peter Falk
46372         Angelina Jolie
82657             Jack Black
111162     Michael Imperioli
116945           Phil LaMarr
119390         Jenifer Lewis
121907           James Madio
134128       Vincent Pastore
146163         Joseph Siravo
154097         Frank Vincent
169759    Bobb'e J. Thompson
Name: Actor, dtype: object","['Bibo Bergeron', 'Vicky Jenson', 'Rob Letterman']","Michael J. Wilson (screenplay), Rob Letterman (screenplay), Scott Aukerman (additional dialogue), Alec Berg (additional dialogue), Sean Bishop (additional dialogue), BJ Porter (additional dialogue), Jeff Schaffer (additional dialogue), Lona Williams (additional dialogue), David P. Smith (additional dialogue), David Soren (additional dialogue)",English,"4,151,626",USA,01 Oct 2004,90 min,6.0,Nominated for 1 Oscar. Another 3 wins & 15 nominations.,tt0307453.jpg
"I, Robot","Action, Mystery, Sci-Fi","9780            Will Smith
14178       James Cromwell
72687     Bridget Moynahan
88227           Terry Chen
95824        Aaron Douglas
104461     Bruce Greenwood
116768        Shia LaBeouf
124151         Chi McBride
150809       Emily Tennant
152515          Alan Tudyk
Name: Actor, dtype: object",['Alex Proyas'],"Jeff Vintar (screenplay), Akiva Goldsman (screenplay), Jeff Vintar (screen story), Isaac Asimov (suggested by book)",English,"144,795,350","USA, Germany",16 Jul 2004,115 min,7.1,Nominated for 1 Oscar. Another 1 win & 13 nominations.,tt0343818.jpg
Troy,Adventure,"3806             Brad Pitt
12217            Sean Bean
23363        Peter O'Toole
36534       Julie Christie
65018        Julian Glover
66534            Brian Cox
68077      Saffron Burrows
80478            Eric Bana
83073        Orlando Bloom
86256           Rose Byrne
90738          James Cosmo
102983     Brendan Gleeson
113252    Mark Lewis Jones
113311        Nathan Jones
122587          Tyler Mane
138171       Vincent Regan
150884         Nigel Terry
165883        Diane Kruger
168282     Garrett Hedlund
170022        Owain Yeoman
Name: Actor, dtype: object",['Wolfgang Petersen'],"Homer (poem), David Benioff (screenplay)",English,"133,228,348","USA, Malta, UK",14 May 2004,163 min,7.2,Nominated for 1 Oscar. Another 3 wins & 19 nominations.,tt0332452.jpg
Ocean's Twelve,"Crime, Thriller","3807                 Brad Pitt
4968            George Clooney
9056             Julia Roberts
10728             Bruce Willis
13848              Don Cheadle
14786               Matt Damon
16989              Andy Garcia
29225            Casey Affleck
36883          Robbie Coltrane
41063            Albert Finney
43012            Elliott Gould
62493     Catherine Zeta-Jones
63276           Vincent Cassel
68121               Scott Caan
71705               Bernie Mac
73743              Carl Reiner
103817            Topher Grace
107057            Jared Harris
111589            Eddie Izzard
112927            Cherry Jones
163350              Mini Anden
Name: Actor, dtype: object",['Steven Soderbergh'],"George Nolfi, George Clayton Johnson (characters), Jack Golden Russell (characters)","English, Dutch, French, Italian, Mandarin","125,531,634",USA,10 Dec 2004,125 min,6.4,2 wins & 8 nominations.,tt0349903.jpg
50 First Dates,"Comedy, Romance","4032                    Dan Aykroyd
4315                 Drew Barrymore
11619                    Sean Astin
40697                  Adam Sandler
56777                 Rob Schneider
81060     Kristin Bauer van Straten
88668                   Blake Clark
91163                  Allen Covert
93008                   Peter Dante
108785                     Amy Hill
111990                  Kevin James
120752            Jonathan Loughran
137132                   Missi Pyle
141397                 Maya Rudolph
149170                  Lusia Strus
151620               Jackie Sandler
159088             Katheryn Winnick
166044                 Lynn Collins
Name: Actor, dtype: object",['Peter Segal'],George Wing,"English, Hawaiian, Mandarin, Turkish","1,127,941",USA,13 Feb 2004,99 min,6.8,6 wins & 9 nominations.,tt0343660.jpg
Van Helsing,"Action, Adventure, Fantasy","12269       Kate Beckinsale
36884       Robbie Coltrane
78399           Elena Anaya
79032        Alun Armstrong
111661         Hugh Jackman
131806    Kevin J. O'Connor
141211     Richard Roxburgh
156673         David Wenham
156794          Samuel West
161487            Will Kemp
162795          Josie Maran
167375       Silvia Colloca
Name: Actor, dtype: object",['Stephen Sommers'],Stephen Sommers,"English, Latin","7,606,691","USA, Czech Republic",07 May 2004,131 min,6.0,2 wins & 17 nominations.,tt0338526.jpg
Fahrenheit 9/11,"Documentary, Comedy, Drama","['Ben Affleck', 'Stevie Wonder', 'George W. Bush', 'James Baker III']",['Michael Moore'],Michael Moore,"English, Arabic","163,920",USA,25 Jun 2004,122 min,7.5,29 wins & 15 nominations.,tt0361596.jpg
Dodgeball: A True Underdog Story,"Comedy, Sport","11758          Hank Azaria
26230      William Shatner
27998         Vince Vaughn
31566        Jason Bateman
44360     David Hasselhoff
51634         Chuck Norris
59129          Ben Stiller
59872             Rip Torn
79084     Curtis Armstrong
89403            Gary Cole
120611         Justin Long
128173    Joel David Moore
130031       Suzy Nakamura
137133          Missi Pyle
140709        Stephen Root
150427    Christine Taylor
152516          Alan Tudyk
163292         Cayden Boyd
165684       Julie Gonzalo
Name: Actor, dtype: object",['Rawson Marshall Thurber'],Rawson Marshall Thurber,"English, German","182,574","USA, Germany",18 Jun 2004,92 min,6.7,2 wins & 7 nominations.,tt0364725.jpg
The Village,"Drama, Mystery, Romance","10576        Sigourney Weaver
19130            William Hurt
53250         Joaquin Phoenix
68025            Adrien Brody
79569          Jayne Atkinson
97326         Jesse Eisenberg
102984        Brendan Gleeson
104649             Judy Greer
110270    Bryce Dallas Howard
112928           Cherry Jones
116184             Fran Kranz
135842           Michael Pitt
145633     M. Night Shyamalan
156856           Celia Weston
173220      Charlie McDermott
Name: Actor, dtype: object",['M. Night Shyamalan'],M. Night Shyamalan,English,"114,195,633",USA,30 Jul 2004,108 min,6.5,Nominated for 1 Oscar. Another 4 wins & 19 nominations.,tt0368447.jpg
The Grudge,"Fantasy, Horror, Mystery","24471              Bill Pullman
42481     Sarah Michelle Gellar
54372                 Ted Raimi
67536                Jason Behr
96807               Clea DuVall
122856         William Mapother
148940         KaDee Strickland
161077          Grace Zabriskie
Name: Actor, dtype: object",['Takashi Shimizu'],"Stephen Susco (screenplay), Takashi Shimizu (film \","English, Japanese","352,562","USA, Japan",22 Oct 2004,91 min,5.9,2 wins & 10 nominations.,tt0391198.jpg
The Aviator,"Biography, Drama","5633      Leonardo DiCaprio
7816               Jude Law
9373        Martin Scorsese
11027             Alan Alda
11910          Alec Baldwin
12268       Kate Beckinsale
14702          Willem Dafoe
18774              Ian Holm
24838        John C. Reilly
26767          Brent Spiner
33337        Cate Blanchett
44734       Edward Herrmann
66963            Adam Scott
75026          Gwen Stefani
89799        Frances Conroy
101876         Kelli Garner
110138         Danny Huston
121668       J.C. MacKenzie
140918            Matt Ross
146239         Frank Sivero
156619        Kenneth Welsh
162794          Josie Maran
Name: Actor, dtype: object",['Martin Scorsese'],John Logan,English,"102,608,827","USA, Germany",25 Dec 2004,170 min,7.5,Won 5 Oscars. Another 73 wins & 111 nominations.,tt0338751.jpg
Collateral,"Crime, Drama, Thriller","5231              Tom Cruise
21963             Debi Mazar
24050     Jada Pinkett Smith
31260          Javier Bardem
32739             Peter Berg
40475           Bodhi Elfman
69302             Jamie Foxx
74952          Jason Statham
77449         Paul Adelstein
113392      Richard T. Jones
125074          Bruce McGill
139599         Emilio Rivera
141449          Mark Ruffalo
158363         Wade Williams
Name: Actor, dtype: object",['Michael Mann'],Stuart Beattie,"English, Spanish","7,648,801",USA,06 Aug 2004,120 min,7.6,Nominated for 2 Oscars. Another 22 wins & 64 nominations.,tt0369339.jpg
